73,FF0B,0206,2B06,3806,8006
0C,0D6C,062D,063A,0680,0674
0C,0D6D,062B,0638,0680,0673
0C,0D6E,062B,0639,0680,0672
0C,0D6F,062D,063B,0681,0674
0C,0D70,062E,063B,0681,0676
0C,0D71,062D,063B,0681,0674
0C,0D72,062C,0639,0680,0673
0C,0D73,062B,0637,067F,0673
0C,0D74,062D,063B,0681,0674
0C,0D75,062E,063B,0682,0676
0C,0D76,062C,063A,0681,0675
0C,0D77,062C,0639,0680,0673
0C,0D78,062B,0638,067F,0672
0C,0D79,062D,063B,0681,0674
0C,0D7A,062E,063C,0681,0675
0C,0D7B,062D,063B,0680,0674
0C,0D7C,062C,0638,067F,0673
0C,0D7D,062B,0638,067F,0672
0C,0D7E,062D,063B,0680,0674
0C,0D7F,062D,063B,0682,0675
0C,0D80,062D,063B,0681,0674
0C,0D81,062B,0638,0680,0673
0C,0D82,062A,0638,067F,0672
0C,0D83,062D,063B,0680,0675
0C,0D84,062E,063B,0681,0674
0C,0D85,062C,063A,0681,0674
0C,0D86,062B,0638,0680,0673
0C,0D87,062B,0638,067F,0672
0C,0D88,062D,063A,0681,0675
0C,0D89,062E,063B,0681,0675
0C,0D8A,062C,063A,0680,0674
0C,0D8B,062B,0638,0680,0673
0C,0D8C,062A,0638,067F,0672
0C,0D8D,062D,063A,0681,0674
0C,0D8E,062E,063C,0681,0675
0C,0D8F,062D,063B,0680,0674
0C,0D90,062B,0638,067F,0673
0C,0D91,062B,0638,067F,0672
0C,0D92,062D,063A,0680,0674
0C,0D93,062E,063B,0681,0675
0C,0D94,062C,063A,0680,0674
0C,0D95,062B,0638,067F,0673
0C,0D96,062B,0637,067F,0672
0C,0D97,062C,0639,0681,0674
0C,0D98,062D,063B,0682,0675
0C,0D99,062C,063A,0680,0674
0C,0D9A,062C,0638,067F,0673
0C,0D9B,062B,0638,067F,0672
0C,0D9C,062D,063B,0680,0674
0C,0D9D,062E,063C,0681,0675
0C,0D9E,062D,063A,0680,0673
0C,0D9F,062B,0638,0680,0673
0C,0DA0,062B,0638,067F,0673
0C,0DA1,062D,063B,0680,0674
0C,0DA2,062D,063C,0681,0675
0C,0DA3,062D,0639,0680,0674
0C,0DA4,062B,0638,0680,0673
0C,0DA5,062B,0638,067F,0672
0C,0DA6,062D,063A,0680,0675
0C,0DA7,062D,063B,0681,0675
0C,0DA8,062C,063A,0680,0674
0C,0DA9,062B,0638,0680,0673
0C,0DAA,062A,0637,067F,0673
0C,0DAB,062C,0639,0680,0674
